DT,ТОК РОТОРА 1,ТОК РОТОРА 2,ТОК СТАТОРА,ВИБРАЦИЯ НА ОПОРЕ 1,ВИБРАЦИЯ НА ОПОРЕ 2,ВИБРАЦИЯ НА ОПОРЕ 3,ВИБРАЦИЯ НА ОПОРЕ 3. ПРОДОЛЬНАЯ,ВИБРАЦИЯ НА ОПОРЕ 4,ВИБРАЦИЯ НА ОПОРЕ 4. ПРОДОЛЬНАЯ,ТЕМПЕРАТУРА ПОДШИПНИКА НА ОПОРЕ 1,ТЕМПЕРАТУРА ПОДШИПНИКА НА ОПОРЕ 2,ТЕМПЕРАТУРА ПОДШИПНИКА НА ОПОРЕ 3,ТЕМПЕРАТУРА ПОДШИПНИКА НА ОПОРЕ 4,ТЕМПЕРАТУРА МАСЛА В МАСЛОБЛОКЕ,ТЕМПЕРАТУРА МАСЛА В СИСТЕМЕ,ДАВЛЕНИЕ МАСЛА В СИСТЕМЕ
2022-08-30 08:14:10,319.91,319.91,253.91,3.12,1.26,1.69,1.88,0.49,1.96,59.22,51.92,55.17,51.11,48.68,46.24,112.5
2022-08-30 08:15:20,319.91,319.91,253.12,3.15,1.29,1.71,1.84,0.47,1.14,60.03,51.92,55.98,51.11,49.49,46.24,114.93
2022-08-30 13:06:50,321.76,321.76,245.83,3.21,1.16,1.46,1.23,0.54,0.9,60.85,52.73,57.6,53.54,51.11,46.24,110.53
2022-08-30 13:07:50,321.76,321.76,244.36,3.19,1.19,1.48,1.2,0.49,0.81,60.85,53.54,56.79,52.73,50.3,46.24,110.88
2022-08-31 10:57:00,332.41,332.41,250.87,2.87,0.98,1.35,0.97,0.56,0.66,56.79,51.11,53.54,47.86,46.24,36.51,117.82
2022-08-31 10:57:30,331.94,331.94,249.31,2.88,0.87,1.36,0.88,0.54,0.64,55.98,51.11,53.54,47.05,46.24,36.51,117.71
2022-08-31 15:30:10,331.48,331.48,247.48,2.69,0.99,1.44,1.25,0.56,0.76,55.98,50.3,52.73,47.86,46.24,40.56,119.33
2022-08-31 15:30:40,331.48,331.48,249.13,2.73,0.98,1.37,1.28,0.52,0.61,55.98,50.3,52.73,47.05,46.24,39.75,117.13
2022-08-31 15:40:50,331.48,331.48,251.22,2.68,0.99,1.36,1.06,0.5,0.88,55.98,50.3,52.73,47.05,46.24,38.13,119.68
2022-08-31 15:41:30,331.02,331.02,247.92,2.8,0.96,1.38,0.88,0.57,0.73,55.98,51.11,52.73,47.86,45.43,38.94,118.06
2022-10-05 15:19:30,329.45625000000007,329.45625000000007,272.54999999999995,2.723333333333333,1.393333333333333,1.051111111111111,0.7777777777777778,0.5860000000000001,1.36,49.027142857142856,46.24,48.133333333333326,44.215,39.588,37.158,117.63222222222224
2022-10-05 15:21:10,329.1666666666667,329.1666666666667,273.52250000000004,2.7175,1.4144444444444446,1.0166666666666666,0.798888888888889,0.6325000000000001,1.182222222222222,49.085,45.6325,47.05,44.215,39.345,36.834,117.53375
2022-12-27 09:54:00,342.59,342.59,277.34,2.48,1.46,1.81,1.64,0.19,1.74,47.05,43.0,43.81,42.19,40.56,25.15,135.65
