DT,ЭКСГАУСТЕР 9. ТОК СТАТОРА,ЭКСГАУСТЕР 9. ВИБРАЦИЯ НА ОПОРЕ 2,ЭКСГАУСТЕР 9. ВИБРАЦИЯ НА ОПОРЕ 4,ЭКСГАУСТЕР 9. ВИБРАЦИЯ НА ОПОРЕ 3,ЭКСГАУСТЕР 9. ВИБРАЦИЯ НА ОПОРЕ 4. ПРОДОЛЬНАЯ,ЭКСГАУСТЕР 9. ТЕМПЕРАТУРА ПОДШИПНИКА НА ОПОРЕ 1,ЭКСГАУСТЕР 9. ДАВЛЕНИЕ МАСЛА В СИСТЕМЕ,ЭКСГАУСТЕР 9. ТЕМПЕРАТУРА ПОДШИПНИКА НА ОПОРЕ 3,ЭКСГАУСТЕР 9. ТЕМПЕРАТУРА ПОДШИПНИКА НА ОПОРЕ 4,ЭКСГАУСТЕР 9. ТЕМПЕРАТУРА МАСЛА В МАСЛОБЛОКЕ,ЭКСГАУСТЕР 9. ТОК РОТОРА 2,ЭКСГАУСТЕР 9. ВИБРАЦИЯ НА ОПОРЕ 1,ЭКСГАУСТЕР 9. ВИБРАЦИЯ НА ОПОРЕ 3. ПРОДОЛЬНАЯ,ЭКСГАУСТЕР 9. ТЕМПЕРАТУРА ПОДШИПНИКА НА ОПОРЕ 2,ЭКСГАУСТЕР 9. ТОК РОТОРА 1,ЭКСГАУСТЕР 9. ТЕМПЕРАТУРА МАСЛА В СИСТЕМЕ
2022-08-30 08:14:10,253.21,0.62,0.92,0.94,0.93,44.62,145.6,45.43,54.35,35.7,322.44,1.48,2.29,46.24,322.44,38.13
2022-08-30 08:15:20,252.43,0.62,0.95,1.04,1.76,44.62,145.72,45.43,54.35,35.7,321.94,1.47,2.48,46.24,321.94,38.13
2022-08-30 13:06:50,260.85,0.69,1.04,1.02,1.48,43.81,144.1,46.24,55.98,35.7,323.94,1.46,2.81,51.11,323.94,39.75
2022-08-30 13:07:50,258.16,0.67,1.0,1.02,1.24,45.43,143.98,47.86,57.6,36.51,322.94,1.49,2.86,47.86,322.94,39.75
2022-08-31 10:57:00,255.38,0.62,1.02,1.02,2.55,40.56,144.79,42.19,51.92,31.64,326.43,1.42,2.42,43.81,326.43,33.26
2022-08-31 10:57:30,257.12,0.62,1.03,1.14,1.63,40.56,144.68,41.37,52.73,30.83,326.43,1.46,2.64,43.81,326.43,34.07
2022-08-31 15:30:10,256.51,0.64,0.97,1.1,0.93,41.37,144.1,41.37,53.54,30.83,324.93,1.51,2.48,44.62,324.93,30.83
2022-08-31 15:30:40,258.25,0.63,1.06,1.06,0.72,41.37,143.87,40.56,52.73,30.83,324.93,1.47,2.53,45.43,324.93,33.26
2022-08-31 15:40:50,260.24,0.58,0.98,1.12,0.91,41.37,144.1,42.19,53.54,30.83,324.93,1.4,2.4,44.62,324.93,34.07
2022-08-31 15:41:30,260.68,0.66,1.03,1.12,1.19,41.37,143.63,41.37,54.35,31.64,324.93,1.44,2.6,44.62,324.93,32.45
2022-10-05 15:19:30,275.77222222222224,0.8870000000000001,1.2600000000000002,1.4166666666666667,1.362,42.64,176.27111111111108,38.616,49.004000000000005,29.204285714285714,336.91,1.37,3.4589999999999996,46.24,336.91,31.13375
2022-10-05 15:21:10,275.84749999999997,0.8577777777777778,1.2822222222222224,1.3925,1.7599999999999998,42.59375,176.08800000000002,38.332499999999996,48.67714285714286,29.476666666666663,335.918,1.356666666666667,3.434444444444444,46.13875,335.918,30.424999999999997
2022-12-27 09:54:00,283.68,0.85,0.78,0.45,1.33,40.56,122.92,39.75,46.24,32.45,291.49,1.51,2.27,43.81,291.49,18.66
